Stav,Změna,Pavilon,Místnost,"IČ",Inv. číslo,Název,Typ,Podtyp,SN,"VYRAD",Datum pořízení,
,,3,23,S,4674,PROJEKTOR,ACER,,,,,
,,3,23,S,4695,REPRO,GENIUS SP HF-1800A,,,,,
,,3,24,S,4578,MONITOR,AOC,E2270SWDN,,,,
,,3,25,S/UP,3378/2,MONITOR,SAMSUNG 923NW,,,,,
,,3,25,S,4335,PC,LYNX,,,,,
,,3,26,S,4649,MONITOR,PHILIPS 227E,,,,,
,,3,26,S,4647,PC,HP 280 G2,,,,,
,,3,27,S,3903,MONITOR,Fujitsu,L-20T-3,,,,
,,3,29,S,3736,NTB,ACER,BIC50,,,,
,,3,27,S,4483,PC,Lenovo Edge i3,,,,,
,,3,29,S,2881,MONITOR,BENQ,,,,,
,,3,31,S,4886,MONITOR,"KA220HQbid 21,5"" LED ACER",,,,,
,,3,31,S,4898,PC,HP EliteDesk 800G2,,,,,
,,3,31,S,4811,REPRO,,,,,,
,,3,32,S,4887,MONITOR,"KA220HQbid 21,5"" LED ACER",,,,,
,,3,32,S,4815,REPRO,,,,,,
,,3,33,S,4888,MONITOR,"KA220HQbid 21,5"" LED ACER",,,,,
,,3,33,S,4882,PC,HP EliteDesk 800G2,,,,,
,?,1,03,S,4601,REPRO,GENIUS,,,,,
,,3,33,S,5199,SLUCHATKA,COBRA H,,,,,
,CIAH,P,19,S,4032,TISKARNA,Epson,,,,,
,,4,24,UP,5747,PC,LYNX ,GTX786,,,,
,,P,2,S,4577,TV,Samsung,,,,,
,,P,26,S,3126,PC,PC Lynx MS,,,,,
,,P,19,S,5034,NTB,Acer TravelMate,,,,,
,,P,21,S,4575,TV,Samsung,,,,,
,,P,26,S,5067,TISKARNA,Epson,M1120,,,,
,,P,02,S,3252/2,MONITOR,Asus,,,,,
,,P,02,S,4629,PC,DELL Optiplex 790,DELL,,,,
,,P,03,S,2880,MONITOR,LCD Benq Senseye 17,,,,,
,,P,03,S,MESTO,NTB,Lenovo,,,,,
,,P,03,S,4628/1,pc,HP 280G2 (Dell Optiplex ?),,,,,
,jidelna,P,19,S,3928,MONITOR,"
",,,,,
,,P,19,S,,MONITOR,LG,,,,,
,,P,19,S,223,REPRO,Gen.,,,,,
,,P,21,UP,3363,MONITOR,"monitor Samsung 19""",,,,,
,,P,26,S,4776,PC,PC sestava elite desk 800,,,,,
,,P,21,S,4002,repro,Genius,,,,,
,,P,26,S,3634,MONITOR,Acer 24,,,,,
